duplicate_row_group,file_id,original_filename,sheet_name,occurrences,source_rows_1based,redundant_copies,normalized_key_preview,duplicate_type,phase4_action
285ec76fb28f8fff,F034,bis_gazette_notification.csv,bis_gazette_notification,2,2; 901,1,"{""id"": ""1"", ""related_is"": ""is 12330"", ""title"": ""\u0938\u0932\u094d\u092b\u0947\u091f \u0930\u094b\u0927\u0940 \u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": ""1. \u0938\u0940\u092e\u0947\u0902\u091f (\u0917\u0941\u0923\u0935\u0924\u094d\u0924\u093e \u0928\u093f\u092f\u0902\u0924\u094d\u0930\u0923) \u0906\u0926\u0947\u0936, 2003 \u090f\u093",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
bbc8fe5b40cd83cd,F034,bis_gazette_notification.csv,bis_gazette_notification,2,3; 902,1,"{""id"": ""2"", ""related_is"": ""is 12600"", ""title"": ""\u0915\u092e \u0924\u093e\u092a \u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
d8f8eabd80232c77,F034,bis_gazette_notification.csv,bis_gazette_notification,2,4; 903,1,"{""id"": ""3"", ""related_is"": ""is 1489 (\u092d\u093e\u0917 1)"", ""title"": ""\u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u092a\u094b\u091c\u093c\u094b\u0932\u093e\u0928\u093e \u0938\u0940\u092e\u0947\u0902\u091f \u2013 \u092d\u093e\u0917 1 (\u092b\u094d\u0932\u093e\u0908 \u0910\u0936 \u0906\u0927\u093e\u0930\u093f\u0924)"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
114af458e17ba821,F034,bis_gazette_notification.csv,bis_gazette_notification,2,5; 904,1,"{""id"": ""4"", ""related_is"": ""is 1489 (\u092d\u093e\u0917 2)"", ""title"": ""\u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u092a\u094b\u091c\u093c\u094b\u0932\u093e\u0928\u093e \u0938\u0940\u092e\u0947\u0902\u091f \u2013 \u092d\u093e\u0917 2 (\u0915\u0948\u0932\u094d\u0938\u093e\u0907\u0902\u0921 \u0915\u094d\u0932\u0947 \u0906\u0927\u093e\u0930\u093f\u0924)"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
291d95358a0c3e2e,F034,bis_gazette_notification.csv,bis_gazette_notification,2,6; 905,1,"{""id"": ""5"", ""related_is"": ""is 269"", ""title"": ""\u0938\u093e\u0927\u093e\u0930\u0923 \u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
a86508584cc37d81,F034,bis_gazette_notification.csv,bis_gazette_notification,2,7; 906,1,"{""id"": ""6"", ""related_is"": ""is 3466"", ""title"": ""\u092e\u0947\u0938\u0928\u0930\u0940 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
cf580d2d7941325b,F034,bis_gazette_notification.csv,bis_gazette_notification,2,8; 907,1,"{""id"": ""7"", ""related_is"": ""is 455"", ""title"": ""\u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u0938\u094d\u0932\u0948\u0917 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
6e1c410e071eb94d,F034,bis_gazette_notification.csv,bis_gazette_notification,2,9; 908,1,"{""id"": ""8"", ""related_is"": ""is 6452"", ""title"": ""\u0938\u0902\u0930\u091a\u0928\u093e\u0924\u094d\u092e\u0915 \u0909\u092a\u092f\u094b\u0917 \u0939\u0947\u0924\u0941 \u0909\u091a\u094d\u091a \u090f\u0932\u094d\u092f\u0941\u092e\u093f\u0928\u093e \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
fc46540f3dbdf291,F034,bis_gazette_notification.csv,bis_gazette_notification,2,10; 909,1,"{""id"": ""9"", ""related_is"": ""is 6909"", ""title"": ""\u0938\u0941\u092a\u0930 \u0938\u0932\u094d\u092b\u0947\u091f\u0947\u0921 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
cffe6fab1d9b5345,F034,bis_gazette_notification.csv,bis_gazette_notification,2,11; 910,1,"{""id"": ""10"", ""related_is"": ""is 8041"", ""title"": ""\u0924\u094d\u0935\u0930\u093f\u0924 \u0938\u0916\u094d\u0924 \u0939\u094b\u0928\u0947 \u0935\u093e\u0932\u0940 \u092a\u094b\u0930\u094d\u091f\u0932\u0948\u0902\u0921 \u0938\u0940\u092e\u0947\u0902\u091f"", ""unnamed_3"": """"}",ROW_LEVEL_EXACT_DUPLICATE_NORMALIZED,Keep the first occurrence as canonical; the other 1 are byte-equal after normalisation and carry no unique data. Record all source rows in provenance.
